date,segment,loan_purpose,loan_count,loan_value_million
2016-06-01,Owner-occupier,External refinancing,50869.0,18819.4
2016-06-01,Owner-occupier,Purchase of existing dwellings,70417.0,28690.4
2016-06-01,Owner-occupier,Purchase of newly erected dwellings,6847.0,2718.4
2016-06-01,Owner-occupier,Total,88781.0,35946.2
2016-09-01,Owner-occupier,"Alterations, additions and repairs",,823.5
2016-09-01,Owner-occupier,Construction of dwellings,11030.0,4420.2
2016-09-01,Owner-occupier,External refinancing,47207.0,17918.1
2016-09-01,Owner-occupier,Purchase of existing dwellings,65366.0,27536.5
2016-09-01,Owner-occupier,Purchase of newly erected dwellings,6395.0,2597.7
2016-09-01,Owner-occupier,Total,82555.0,34534.0
2016-12-01,Owner-occupier,"Alterations, additions and repairs",,789.4
2016-12-01,Owner-occupier,Construction of dwellings,11115.0,4486.8
2016-12-01,Owner-occupier,External refinancing,44647.0,16906.5
2016-12-01,Owner-occupier,Purchase of existing dwellings,66758.0,28437.5
2016-12-01,Owner-occupier,Purchase of newly erected dwellings,6676.0,2716.1
2016-12-01,Owner-occupier,Total,84157.0,35624.7
2017-03-01,Owner-occupier,"Alterations, additions and repairs",,850.2
2017-03-01,Owner-occupier,Construction of dwellings,11475.0,4568.8
2017-03-01,Owner-occupier,External refinancing,43553.0,16522.7
2017-03-01,Owner-occupier,Purchase of existing dwellings,71337.0,30062.8
2017-03-01,Owner-occupier,Purchase of newly erected dwellings,7064.0,2905.9
2017-03-01,Owner-occupier,Total,89515.0,37481.6
2017-06-01,Owner-occupier,"Alterations, additions and repairs",,867.8
2017-06-01,Owner-occupier,Construction of dwellings,12066.0,4877.7
2017-06-01,Owner-occupier,External refinancing,41471.0,16068.7
2017-06-01,Owner-occupier,Purchase of existing dwellings,70709.0,30239.3
2017-06-01,Owner-occupier,Purchase of newly erected dwellings,7338.0,2990.8
2017-06-01,Owner-occupier,Total,90144.0,38170.4
2017-09-01,Owner-occupier,"Alterations, additions and repairs",,882.0
2017-09-01,Owner-occupier,Construction of dwellings,12419.0,5063.0
2017-09-01,Owner-occupier,External refinancing,40924.0,15728.9
2017-09-01,Owner-occupier,Purchase of existing dwellings,73198.0,31408.0
2017-09-01,Owner-occupier,Purchase of newly erected dwellings,7693.0,3143.6
2017-09-01,Owner-occupier,Total,93187.0,39595.3
2017-12-01,Owner-occupier,"Alterations, additions and repairs",,839.7
2017-12-01,Owner-occupier,Construction of dwellings,11952.0,4885.7
2017-12-01,Owner-occupier,External refinancing,41820.0,16514.9
2017-12-01,Owner-occupier,Purchase of existing dwellings,70418.0,30925.8
2017-12-01,Owner-occupier,Purchase of newly erected dwellings,7570.0,3133.8
2017-12-01,Owner-occupier,Total,89507.0,38938.4
2018-03-01,Owner-occupier,"Alterations, additions and repairs",,758.5
2018-03-01,Owner-occupier,Construction of dwellings,11707.0,4828.5
2018-03-01,Owner-occupier,External refinancing,42032.0,16856.3
2018-03-01,Owner-occupier,Purchase of existing dwellings,68334.0,30806.8
2018-03-01,Owner-occupier,Purchase of newly erected dwellings,7400.0,3223.6
2018-03-01,Owner-occupier,Total,87168.0,38766.3
2018-06-01,Owner-occupier,"Alterations, additions and repairs",,694.3
2018-06-01,Owner-occupier,Construction of dwellings,11449.0,4765.3
2018-06-01,Owner-occupier,External refinancing,40841.0,16778.1
2018-06-01,Owner-occupier,Purchase of existing dwellings,68323.0,30973.2
2018-06-01,Owner-occupier,Purchase of newly erected dwellings,7112.0,3188.4
2018-06-01,Owner-occupier,Total,86752.0,38932.1
2018-09-01,Owner-occupier,"Alterations, additions and repairs",,642.7
2018-09-01,Owner-occupier,Construction of dwellings,11473.0,4662.6
2018-09-01,Owner-occupier,External refinancing,40739.0,16842.4
2018-09-01,Owner-occupier,Purchase of existing dwellings,65243.0,29405.4
2018-09-01,Owner-occupier,Purchase of newly erected dwellings,6395.0,2887.7
2018-09-01,Owner-occupier,Total,83267.0,37031.3
2018-12-01,Owner-occupier,"Alterations, additions and repairs",,635.3
2018-12-01,Owner-occupier,Construction of dwellings,11079.0,4499.8
2018-12-01,Owner-occupier,External refinancing,40940.0,16409.6
2018-12-01,Owner-occupier,Purchase of existing dwellings,64099.0,27874.7
2018-12-01,Owner-occupier,Purchase of newly erected dwellings,6096.0,2676.0
2018-12-01,Owner-occupier,Total,80920.0,35003.7
2019-03-01,Owner-occupier,"Alterations, additions and repairs",,608.9
2019-03-01,Owner-occupier,Construction of dwellings,10834.0,4468.9
2019-03-01,Owner-occupier,External refinancing,39058.0,15570.5
2019-03-01,Owner-occupier,Purchase of existing dwellings,59434.0,25880.1
2019-03-01,Owner-occupier,Purchase of newly erected dwellings,5143.0,2322.8
2019-03-01,Owner-occupier,Total,75314.0,32634.4
2019-06-01,Owner-occupier,"Alterations, additions and repairs",,606.5
2019-06-01,Owner-occupier,Construction of dwellings,10563.0,4314.7
2019-06-01,Owner-occupier,External refinancing,37235.0,15348.1
2019-06-01,Owner-occupier,Purchase of existing dwellings,57407.0,25627.6
2019-06-01,Owner-occupier,Purchase of newly erected dwellings,5312.0,2404.1
2019-06-01,Owner-occupier,Total,73336.0,32368.5
2019-09-01,Owner-occupier,"Alterations, additions and repairs",4815.0,635.9
2019-09-01,Owner-occupier,Construction of dwellings,10596.0,4365.1
2019-09-01,Owner-occupier,External refinancing,39443.0,17094.5
